period,value
2000.1,0.273
2000.2,0.273
2000.3,0.273
2000.4,0.273
2001.1,0.273
2001.2,0.273
2001.3,0.273
2001.4,0.273
2002.1,0.273
2002.2,0.273
2002.3,0.273
2002.4,0.273
2003.1,0.273
2003.2,0.273
2003.3,0.273
2003.4,0.273
2004.1,0.273
2004.2,0.273
2004.3,0.273
2004.4,0.273
2005.1,0.273
2005.2,0.273
2005.3,0.273
2005.4,0.273
2006.1,0.273
2006.2,0.273
2006.3,0.273
2006.4,0.273
2007.1,0.273
2007.2,0.273
2007.3,0.273
2007.4,0.273
2008.1,0.273
2008.2,0.273
2008.3,0.273
2008.4,0.273
2009.1,0.273
2009.2,0.273
2009.3,0.273
2009.4,0.273
2010.1,0.246
2010.2,0.246
2010.3,0.246
2010.4,0.246
2011.1,0.246
2011.2,0.246
2011.3,0.246
2011.4,0.246
2012.1,0.246
2012.2,0.246
2012.3,0.246
2012.4,0.246
2013.1,0.246
2013.2,0.246
2013.3,0.246
2013.4,0.246
2014.1,0.246
2014.2,0.246
2014.3,0.246
2014.4,0.246
2015.1,0.241
2015.2,0.241
2015.3,0.241
2015.4,0.241
2016.1,0.241
2016.2,0.241
2016.3,0.241
2016.4,0.241
2017.1,0.241
2017.2,0.241
2017.3,0.241
2017.4,0.241
2018.1,0.22
2018.2,0.22
2018.3,0.22
2018.4,0.22
2019.1,0.215
2019.2,0.215
2019.3,0.215
2019.4,0.215
2020.1,0.2
2020.2,0.2
2020.3,0.2
2020.4,0.2
2021.1,0.175
2021.2,0.175
2021.3,0.175
2021.4,0.175
2022.1,0.167
2022.2,0.167
2022.3,0.167
2022.4,0.167
2023.1,0.166
2023.2,0.166
2023.3,0.166
2023.4,0.166
2024.1,0.143
2024.2,0.143
2024.3,0.143
2024.4,0.143
2025.1,0.143
2025.2,0.143
2025.3,0.143
2025.4,0.143
2026.1,0.143
2026.2,0.143
2026.3,0.143
2026.4,0.143
2027.1,0.143
2027.2,0.143
2027.3,0.143
2027.4,0.143
2028.1,0.143
2028.2,0.143
2028.3,0.143
2028.4,0.143
2029.1,0.143
2029.2,0.143
2029.3,0.143
2029.4,0.143
